Website,Category,Rank,Size,Business model,Login,Advertising,Safe,Unsafe,Primary,Secondary,Total,UnsafePrimary,UnsafeSecondary,UnsafeTotal,UnsafePrimaryNetChange,UnsafePrimaryAdd,UnsafePrimaryDrop,UnsafeSecondaryNetChange,UnsafeSecondaryAdd,UnsafeSecondaryDrop,UnsafeTotalNetChange,UnsafeTotalAdd,UnsafeTotalDrop,RespectDummy,Respect,AbuseObfuscate,AbuseDoNotObfuscate,ObfuscateLevel,TotalRespect,TotalDoNotObfuscate,TotalObfuscateLevel,AbuseDummy,ObfuscateDummy,Abuse,Obfuscate,SecondaryAbuseDummy,SecondaryObfuscateDummy,SecondaryAbuse,SecondaryObfuscate,TotalAbuseDummy,TotalObfuscateDummy,TotalAbuse,TotalObfuscate
Grandforksherald.com,0,222,275601,advertising,1,1,55,57,24,88,112,15,42,57,0,0,0,-1,8,9,-1,8,9,1,0,0,0,0,9,8,0,0,0,0,0,0,1,8,17,0,0,0,17
Collegemagazine.com,0,226,619260,advertising,0,1,52,43,18,77,95,10,33,43,3,3,0,20,28,8,23,31,8,0,0,0,3,3,0,0,36,1,0,3,3,1,1,28,36,1,1,23,39
Citypages.com,0,227,603997,advertising,0,1,68,76,21,123,144,16,60,76,-5,0,5,-24,3,27,-29,3,32,1,5,0,0,0,32,3,0,0,0,0,5,0,1,3,30,0,0,0,35
Thestate.com,0,228,633248,subscription and advertising,1,1,33,56,20,69,89,12,44,56,0,1,1,10,19,9,10,20,10,0,0,0,0,2,0,0,28,1,1,0,2,1,1,19,28,1,1,10,30
Mediamatters.org,0,229,462516,donation,0,0,5,6,8,3,11,5,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Agoracosmopolitan.com,0,233,981563,advertising and donation,1,1,3,5,4,4,8,2,3,5,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Thetimes-tribune.com,0,234,475284,subscription and advertising,1,1,63,55,25,93,118,15,40,55,1,1,0,1,9,8,2,10,8,0,0,0,1,1,0,0,17,1,0,1,1,1,1,9,17,1,1,2,18
Duluthnewstribune.com,0,238,303802,subscription and advertising,1,1,35,47,23,59,82,15,32,47,-1,0,1,21,26,5,20,26,6,1,1,0,0,0,0,0,31,0,0,0,1,1,1,26,31,1,1,20,32
Lucianne.com,0,239,103831,subscription and advertising,1,1,46,47,12,81,93,7,40,47,0,0,0,-2,12,13,-2,12,13,1,0,0,0,0,13,12,0,0,0,0,0,0,1,12,25,0,0,0,25
Goodnewsnetwork.org,0,240,287138,advertising,1,1,44,56,15,85,100,12,44,56,0,0,0,-14,6,20,-14,6,20,1,0,0,0,0,20,6,0,0,0,0,0,0,1,6,26,0,0,0,26
Project-syndicate.org,0,241,121777,subscription,1,0,7,17,17,7,24,13,4,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Idahostatesman.com,0,243,84603,subscription and advertising,1,1,44,56,24,79,103,13,43,56,-2,0,1,-3,4,8,-5,4,9,1,2,0,0,0,9,4,0,0,0,0,1,0,1,4,12,0,0,0,13
Delawareonline.com,0,244,417791,subscription and advertising,1,1,34,47,28,53,81,13,34,47,1,1,0,-10,1,11,-9,2,11,0,0,0,1,1,11,2,0,1,0,1,1,0,1,1,12,0,0,0,13
Straight.com,0,247,133314,advertising,0,1,25,40,16,49,65,12,28,40,0,0,0,-11,5,16,-11,5,16,1,0,0,0,0,16,5,0,0,0,0,0,0,1,5,21,0,0,0,21
Theprovince.com,0,248,73066,subscription and advertising,1,1,45,65,32,78,110,21,44,65,2,2,0,-8,12,20,-6,14,20,0,0,0,2,2,20,14,0,1,0,2,2,0,1,12,32,0,0,0,34
Pilotonline.com,0,249,516112,subscription and advertising,1,1,41,65,34,72,106,21,44,65,-3,0,3,-27,4,31,-30,4,34,1,3,0,0,0,34,4,0,0,0,0,3,0,1,4,35,0,0,0,38
Kcchronicle.com,0,251,448466,subscription and advertising,1,1,20,25,17,29,46,10,15,25,3,3,0,1,4,3,4,7,3,0,0,0,3,3,0,0,7,1,0,3,3,1,1,4,7,1,1,4,10
Passageweather.com,0,252,448466,advertising,0,1,2,5,5,2,7,4,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
